iter	Passed	Remaining
0	0	97
1	1	86
2	2	95
3	4	101
4	5	102
5	6	99
6	7	97
7	8	95
8	9	93
9	10	92
10	11	90
11	12	88
12	13	87
13	14	86
14	14	84
15	15	82
16	16	80
17	17	79
18	18	77
19	19	76
20	19	74
21	20	72
22	21	71
23	21	69
24	22	67
25	23	66
26	23	64
27	24	62
28	25	62
29	26	60
30	26	59
31	27	58
32	28	57
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	57	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	74	0
